$: |0| finalbitnum: |0| firstbitseller: |0|monero_last_rate: |0| num: |1.0|random_num: |0
$: |66.0784| finalbitnum: |50.61002728571428| firstbitseller: |57.83|monero_last_rate: |44.293710000000004| num: |161.0|random_num: |14.542625811149069
$: |66.0784| finalbitnum: |50.888171857142865| firstbitseller: |58.107048999999996|monero_last_rate: |44.293710000000004| num: |162.0|random_num: |11.408056056061097
$: |66.0784| finalbitnum: |50.888171857142865| firstbitseller: |58.107048999999996|monero_last_rate: |44.293710000000004| num: |163.0|random_num: |16.751212573529315
$: |66.0784| finalbitnum: |50.888171857142865| firstbitseller: |58.107048999999996|monero_last_rate: |44.293710000000004| num: |164.0|random_num: |15.208457364641756
$: |66.0784| finalbitnum: |50.888171857142865| firstbitseller: |58.107048999999996|monero_last_rate: |44.293710000000004| num: |165.0|random_num: |18.525999410658258
$: |66.0784| finalbitnum: |50.888171857142865| firstbitseller: |58.107048999999996|monero_last_rate: |44.293710000000004| num: |166.0|random_num: |11.41230254125438
$: |66.0784| finalbitnum: |50.888171857142865| firstbitseller: |58.107048999999996|monero_last_rate: |44.293710000000004| num: |167.0|random_num: |19.92375090289258
$: |66.0784| finalbitnum: |50.888171857142865| firstbitseller: |58.107048999999996|monero_last_rate: |44.293710000000004| num: |168.0|random_num: |17.433929924343282
$: |66.0784| finalbitnum: |50.888171857142865| firstbitseller: |58.107048999999996|monero_last_rate: |44.293710000000004| num: |169.0|random_num: |15.794333461643735
$: |66.0784| finalbitnum: |50.88460042857143| firstbitseller: |58.107048999999996|monero_last_rate: |44.293710000000004| num: |170.0|random_num: |17.820041962268725
$: |66.0784| finalbitnum: |50.90991314285714| firstbitseller: |58.107048999999996|monero_last_rate: |44.293710000000004| num: |171.0|random_num: |17.138730517164106
$: |66.0784| finalbitnum: |50.90991314285714| firstbitseller: |58.107048999999996|monero_last_rate: |44.293710000000004| num: |172.0|random_num: |11.084630423275021
$: |66.0784| finalbitnum: |50.90991314285714| firstbitseller: |58.107048999999996|monero_last_rate: |44.293710000000004| num: |173.0|random_num: |19.221943571595737
$: |66.0784| finalbitnum: |50.90991314285714| firstbitseller: |58.107048999999996|monero_last_rate: |44.293710000000004| num: |174.0|random_num: |11.129137506099156
$: |66.0784| finalbitnum: |50.90991314285714| firstbitseller: |58.107048999999996|monero_last_rate: |44.293710000000004| num: |175.0|random_num: |13.713992231059201
$: |66.0784| finalbitnum: |50.90991314285714| firstbitseller: |58.107048999999996|monero_last_rate: |44.293710000000004| num: |176.0|random_num: |19.18436482039646
$: |66.0784| finalbitnum: |50.90991314285714| firstbitseller: |58.107048999999996|monero_last_rate: |44.293710000000004| num: |177.0|random_num: |14.17195386867036
$: |66.0784| finalbitnum: |50.90991314285714| firstbitseller: |58.107048999999996|monero_last_rate: |44.293710000000004| num: |178.0|random_num: |13.709678150385827
$: |66.0784| finalbitnum: |50.90991314285714| firstbitseller: |58.107048999999996|monero_last_rate: |44.293710000000004| num: |179.0|random_num: |17.669837691364318
$: |66.0784| finalbitnum: |50.92616414285715| firstbitseller: |58.107048999999996|monero_last_rate: |44.293710000000004| num: |180.0|random_num: |12.13974921884021
$: |66.0784| finalbitnum: |50.92616414285715| firstbitseller: |58.107048999999996|monero_last_rate: |44.293710000000004| num: |181.0|random_num: |13.834312344135478
$: |66.0784| finalbitnum: |50.92614985714286| firstbitseller: |58.107048999999996|monero_last_rate: |44.293710000000004| num: |182.0|random_num: |11.6903882241781
$: |66.0784| finalbitnum: |50.92607842857143| firstbitseller: |58.107048999999996|monero_last_rate: |44.293710000000004| num: |183.0|random_num: |19.356347197454724
$: |66.0784| finalbitnum: |50.92769271428572| firstbitseller: |58.107048999999996|monero_last_rate: |44.293710000000004| num: |184.0|random_num: |15.727828526190201
$: |66.0784| finalbitnum: |50.92769271428572| firstbitseller: |58.107048999999996|monero_last_rate: |44.293710000000004| num: |185.0|random_num: |13.625252110281087
